epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,1371.09,0.33773,1.2753,0.32489,0.17849,0.00682,0.63415,0.99974,1,0.995,0.99216,0.99974,1,0.995,0.90873,0.19104,0.38574,0.35598,0.0634,0.00537,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,1404.9,0.37348,1.16318,0.33135,0.18906,0.00745,0.1951,0.99736,1,0.995,0.995,0.99736,1,0.995,0.92386,0.17434,0.37073,0.34712,0.09285,0.00529,0,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,1438.52,0.34208,1.20863,0.32831,0.17871,0.00712,0.32733,0.99974,1,0.995,0.995,0.99974,1,0.995,0.95559,0.15296,0.26915,0.34169,0.05294,0.00425,0,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,1471.82,0.32785,1.32344,0.32448,0.16312,0.00653,0.87268,0.99974,1,0.995,0.995,0.99974,1,0.995,0.91598,0.19617,0.36113,0.36999,0.06277,0.00632,0,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,1504.67,0.35546,1.22063,0.31788,0.16959,0.00715,0.38768,0.99973,1,0.995,0.995,0.99973,1,0.995,0.917,0.13318,0.35934,0.37785,0.05343,0.00357,0,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,1537.4,0.36081,1.10884,0.31796,0.17228,0.00736,0.17992,0.99973,1,0.995,0.99499,0.99973,1,0.995,0.93419,0.13986,0.32834,0.36129,0.05971,0.0047,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,1570.56,0.33785,1.13293,0.31705,0.16157,0.00686,0.47916,0.99973,1,0.995,0.99265,0.99973,1,0.995,0.91462,0.24873,0.36109,0.35877,0.07629,0.00662,0,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,1604.74,0.34756,1.29022,0.31119,0.17148,0.00693,0.66473,0.9997,1,0.995,0.89689,0.9997,1,0.995,0.9585,0.45694,0.24032,0.36956,0.12355,0.01314,0,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,1638.18,0.36159,1.1955,0.31597,0.18636,0.00739,0.29394,1,0.99982,0.995,0.98553,1,0.99982,0.995,0.92152,0.23831,0.3553,0.35735,0.07764,0.00739,0,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,1672.03,0.34312,1.16001,0.30724,0.1849,0.007,0.39418,1,1,0.995,0.98562,1,1,0.995,0.88798,0.32226,0.44133,0.35014,0.09328,0.01171,0,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
