element_id,node_1,node_2,node_3
247618,14589,14192,14362
247619,14589,14416,14192
247620,14416,14049,14192
247621,14416,14286,14049
247622,14286,13941,14049
247623,14286,14207,13941
247624,14207,13882,13941
247625,14207,14165,13882
247626,14165,13856,13882
247627,14165,14162,13856
247628,14162,13881,13856
247629,14162,14201,13881
247630,14201,13942,13881
247631,14201,14280,13942
247632,14280,14048,13942
247633,14280,14404,14048
247634,14404,14193,14048
247635,14404,14572,14193
247636,14572,14361,14193
247637,14572,14783,14361
247638,14783,14591,14361
247639,14783,15043,14591
247640,15043,14855,14591
247641,15043,15331,14855
247642,15331,15150,14855
247643,15331,15656,15150
247644,15656,15491,15150
247645,15656,16022,15491
247646,16022,15845,15491
247647,16022,16401,15845
247648,16401,16238,15845
247649,16401,16815,16238
247650,16815,16646,16238
247651,15844,15290,15654
247652,15844,15492,15290
247653,15492,14951,15290
247654,15492,15149,14951
247655,15149,14646,14951
247656,15149,14856,14646
247657,14856,14376,14646
247658,14856,14590,14376
247659,14590,14166,14376
247660,14590,14362,14166
247661,14362,13964,14166
247662,14362,14192,13964
247663,14192,13813,13964
247664,14192,14049,13813
247665,14049,13690,13813
247666,14049,13941,13690
247667,13941,13612,13690
247668,13941,13882,13612
247669,13882,13574,13612
247670,13882,13856,13574
247671,13856,13580,13574
247672,13856,13881,13580
247673,13881,13620,13580
247674,13881,13942,13620
247675,13942,13697,13620
247676,13942,14048,13697
247677,14048,13825,13697
247678,14048,14193,13825
247679,14193,13976,13825
247680,14193,14361,13976
247681,14361,14179,13976
247682,14361,14591,14179
247683,14591,14405,14179
247684,14591,14855,14405
247685,14855,14670,14405
247686,14855,15150,14670
247687,15150,14979,14670
247688,15150,15491,14979
247689,15491,15316,14979
247690,15491,15845,15316
247691,15845,15689,15316
247692,15845,16238,15689
247693,16238,16086,15689
247694,16238,16646,16086
247695,16646,16498,16086
247696,15654,15089,15469
247697,15654,15290,15089
247698,15290,14746,15089
247699,15290,14951,14746
247700,14951,14444,14746
247701,14951,14646,14444
247702,14646,14187,14444
247703,14646,14376,14187
247704,14376,13946,14187
247705,14376,14166,13946
247706,14166,13746,13946
247707,14166,13964,13746
247708,13964,13581,13746
247709,13964,13813,13581
247710,13813,13447,13581
247711,13813,13690,13447
247712,13690,13358,13447
247713,13690,13612,13358
247714,13612,13308,13358
247715,13612,13574,13308
247716,13574,13284,13308
247717,13574,13580,13284
247718,13580,13313,13284
247719,13580,13620,13313
247720,13620,13371,13313
247721,13620,13697,13371
247722,13697,13470,13371
247723,13697,13825,13470
247724,13825,13602,13470
247725,13825,13976,13602
