node_id,x,y,z
577,-160.378,101.219,-14.2051
578,-137.272,46.3777,-68.3205
579,-92.1502,61.1607,-100.0
580,-159.272,47.6976,-63.1987
581,-96.1534,106.902,-30.984
582,-154.529,41.294,-81.3481
583,-63.054,106.186,-94.4911
584,-93.4005,166.022,-37.9571
585,-133.412,62.5969,-41.3417
586,-170.789,49.5017,-62.4607
587,-135.552,41.083,-89.4159
588,-81.5675,80.0654,-68.138
589,-135.303,68.3476,-34.5595
590,-193.787,49.4613,-100.0
591,-76.5367,184.776,-100.0
592,-102.449,59.2796,-69.1237
593,-127.169,108.692,-13.9711
594,-69.859,132.547,-56.7639
595,-180.083,44.4893,-86.7566
596,-121.437,150.831,-14.9625
597,-81.9627,91.423,-53.3071
598,-133.577,101.869,-14.1191
599,-170.182,105.063,-13.3964
600,-126.718,50.3488,-61.9546
601,-150.021,132.264,-7.54797
602,-155.911,104.226,-11.6018
603,-154.101,127.487,-7.55674
604,-125.657,45.851,-73.9914
605,-74.7863,90.9058,-66.2929
606,-186.314,45.5742,-92.618
607,-167.724,54.2214,-50.7793
608,-123.577,43.5005,-86.5653
609,-150.347,38.6499,-91.5656
610,-187.428,50.2875,-72.1527
611,-63.6837,159.758,-88.6322
612,-92.344,96.2062,-37.1188
613,-59.824,137.43,-84.3659
614,-95.981,130.052,-25.1771
615,-146.326,136.341,-7.25535
616,-158.029,122.585,-7.56927
617,-146.156,40.9968,-76.0482
618,-68.1795,88.3187,-100.0
619,-104.884,50.7739,-88.288
620,-111.136,83.0522,-30.63
621,-96.6823,140.368,-24.7638
622,-147.185,129.426,-6.6781
623,-68.0392,95.2738,-76.3484
624,-143.657,57.7691,-42.2301
625,-117.139,129.921,-12.8346
626,-113.87,47.6701,-79.055
627,-180.891,85.313,-23.8334
628,-147.385,46.2359,-60.296
629,-90.4926,85.8349,-44.6658
630,-75.685,105.278,-50.7039
631,-125.549,155.683,-13.2571
632,-164.079,63.2253,-36.4721
633,-121.022,108.828,-13.9594
634,-117.234,137.091,-12.7295
635,-143.983,94.0305,-14.038
636,-83.6978,153.372,-38.6791
637,-141.883,126.345,-6.67505
638,-145.986,121.588,-6.68006
639,-187.392,44.282,-100.0
640,-70.5,179.183,-100.0
641,-161.8,117.561,-7.58557
642,-144.521,129.265,-6.13732
643,-84.9113,141.51,-33.9108
644,-60.7592,117.639,-77.2218
645,-148.235,124.5,-6.04519
646,-152.972,51.8234,-48.9017
647,-173.706,99.1271,-14.1927
648,-161.087,92.1935,-14.6553
649,-141.505,141.338,-6.7849
650,-152.996,121.633,-6.14684
651,-63.159,99.2892,-87.5582
652,-142.73,134.179,-6.03571
653,-135.887,91.7641,-15.4687
654,-141.306,37.0544,-100.0
655,-143.607,71.0172,-27.1677
656,-168.94,39.4105,-83.8224
657,-147.688,116.565,-6.47132
658,-136.91,145.793,-7.54403
659,-132.517,125.287,-7.29078
660,-123.711,119.493,-10.0549
661,-79.9644,174.635,-55.2022
662,-142.964,121.442,-6.04224
663,-86.9234,62.8744,-84.9491
664,-140.692,131.2,-5.5782
665,-62.0943,104.951,-79.4494
666,-154.858,98.1944,-10.862
667,-137.016,128.131,-6.03613
668,-135.89,135.699,-6.25659
669,-111.007,61.9213,-48.2827
670,-83.4275,114.897,-35.1022
671,-60.285,151.025,-79.8108
672,-166.616,98.7944,-11.7189
673,-120.26,83.9432,-23.1684
674,-150.475,119.508,-5.45458
675,-116.664,146.335,-12.547
676,-150.883,63.0723,-33.1838
677,-82.0513,182.394,-59.2061
678,-111.677,89.7644,-23.6599
679,-90.6612,62.2091,-73.6039
680,-165.413,112.422,-7.60568
681,-133.512,132.999,-6.32905
682,-190.459,61.0362,-48.4625
683,-136.36,123.37,-6.03863
684,-67.4618,87.1259,-86.2958
685,-112.479,116.538,-13.9084
686,-127.815,38.3733,-100.0
687,-154.269,114.103,-6.05254
688,-91.2687,151.345,-28.4248
689,-157.031,117.467,-5.51352
690,-138.795,138.825,-5.49637
691,-73.2203,186.115,-92.665
692,-194.642,45.9857,-92.4029
693,-140.666,118.764,-5.50463
694,-170.718,57.1053,-42.105
695,-120.101,159.924,-14.0101
696,-76.7602,184.683,-72.1053
697,-144.322,112.973,-6.05088
698,-63.8917,154.472,-67.8579
699,-141.83,110.814,-6.68282
700,-56.4028,126.319,-85.7299
701,-151.404,111.247,-6.05711
702,-63.4087,111.161,-66.3728
703,-71.9092,125.602,-46.013
704,-157.364,109.093,-6.69813
705,-107.258,168.807,-23.4149
706,-73.9042,76.0633,-84.2584
707,-134.004,120.255,-6.05936
708,-154.566,108.159,-6.7002
